"","Ticker","Return.2010.2017","Name","Sector","Sec","Factor.Value","Factor.P","Factor","Return.Percentile"
"3001","MSFT",2.40134446095,"Microsoft Corp.","Information Technology","IT",-0.0128043578456613,0.577498469245671,"CMA",0.571106094808126
"157","ETFC",1.69402173913043,"E*Trade","Financials","FI",-0.0118233191266495,0.102686690496019,"CMA",0.36568848758465
"392","STX",2.13998285596714,"Seagate Technology","Information Technology","IT",-0.0116710283849196,0.349715198153178,"CMA",0.467268623024831
"141","EA",4.78842964187328,"Electronic Arts","Information Technology","IT",-0.0115751707577718,0.118737593129122,"CMA",0.878103837471783
"321","NTRS",1.27654867109842,"Northern Trust Corp.","Financials","FI",-0.0107157430132684,0.0441899648888239,"CMA",0.246049661399549
"351","PRU",1.78328530032876,"Prudential Financial","Financials","FI",-0.0106911046250763,0.000868278819971917,"CMA",0.397291196388262
"323","NVDA",10.2871607989972,"Nvidia Corporation","Information Technology","IT",-0.0104153016471366,0.383219730045664,"CMA",0.979683972911964
"196","GS",0.634268666989922,"Goldman Sachs Group","Financials","FI",-0.0102148751971768,0.0168768863520605,"CMA",0.128668171557562
"731","C",1.25592820256318,"Citigroup Inc.","Financials","FI",-0.00968771358406903,0.000140899615052322,"CMA",0.239277652370203
"284","MET",0.96149743124286,"MetLife Inc.","Financials","FI",-0.00963568441829341,0.00468781938504467,"CMA",0.18058690744921
"376","SCHW",1.86807550466763,"Charles Schwab Corporation","Financials","FI",-0.0095064366406274,0.0236678635415501,"CMA",0.422121896162528
