"","Sec","variable","value"
"157","H","Intercept",0.00144566492515494
"158","IT","Intercept",0.00260679599600599
"159","I","Intercept",-0.0170446248937042
"160","U","Intercept",-0.0132796386833355
"161","E","Intercept",-0.00993807196683058
"162","E","Intercept",-0.0153318239508872
"163","I","Intercept",-0.00716631771021806
"164","RE","Intercept",-0.00384834366924334
"165","RE","Intercept",-0.00748361763827708
"166","RE","Intercept",-0.00420810011956008
"167","CS","Intercept",-0.00438746611506612
"168","U","Intercept",-0.00500349293237973
"169","FI","Intercept",-0.0067661659634485
"170","U","Intercept",-0.0156477405151797
"171","CD","Intercept",-0.0090349598583317
"172","I","Intercept",-0.0151552113471417
"173","H","Intercept",-0.0144696738524578
"174","RE","Intercept",0.00502279257267952
"175","E","Intercept",-0.0160277564679509
"176","IT","Intercept",-0.0152149779798416
"177","I","Intercept",-0.00803329394272314
"178","RE","Intercept",-0.00804201486638628
"179","I","Intercept",-0.0131275485006263
"180","IT","Intercept",-0.00448740516562912
"181","FI","Intercept",-0.00485254479106059
"182","U","Intercept",-0.015955346237154
"183","IT","Intercept",-0.00561339316787337
"184","IT","Intercept",-0.0114402064832518
"185","I","Intercept",-0.0226219516170806
"186","I","Intercept",-0.0227517642204576
"187","M","Intercept",-0.0110084790562281
"188","CD","Intercept",-0.00619509624670163
"189","CD","Intercept",-0.0201008089944398
"190","I","Intercept",-0.00153559471083501
"191","FI","Intercept",-0.0246907318237558
"192","M","Intercept",-0.0365780983891804
"193","CD","Intercept",-0.0123389949220494
"194","IT","Intercept",0.00323237319249729
"195","I","Intercept",-0.00783393004477438
"196","I","Intercept",-0.01967868338578
"197","RE","Intercept",-0.0134333993142363
"198","CS","Intercept",-0.00823073421320329
"199","CD","Intercept",-0.0214515771640974
"200","CD","Intercept",-0.00901389540606301
"201","H","Intercept",-0.00404051312955004
"202","IT","Intercept",-0.00789183977878378
"203","FI","Intercept",-0.0165754436313155
"204","CD","Intercept",-0.0160673822006758
"205","I","Intercept",-0.00987683768645296
"206","E","Intercept",-0.0164573620986739
"207","CD","Intercept",-0.004302900891431
"208","CD","Intercept",-0.017063458961851
"209","IT","Intercept",-0.00889905690873491
"210","FI","Intercept",-0.0137655454246251
"211","CD","Intercept",-0.00856546667513908
"212","H","Intercept",-0.000452119619423225
"213","RE","Intercept",-0.012870965012316
"214","E","Intercept",-0.0124414282742106
"215","H","Intercept",-0.0110420775716116
"216","CS","Intercept",-0.00101565683542625
"217","E","Intercept",-0.0265576673151105
"218","H","Intercept",-0.0101100359700587
"219","CD","Intercept",-3.71149953510575e-05
"220","I","Intercept",-0.00879763702617893
"221","CS","Intercept",-3.16123287148037e-05
"222","RE","Intercept",-0.0204106880355952
"223","IT","Intercept",-0.0233772454805565
"224","H","Intercept",0.00324357875022325
"225","FI","Intercept",-0.00163442881972618
"226","I","Intercept",0.000362027763479106
"227","H","Intercept",0.00243129228686845
"228","I","Intercept",-0.00987334632798177
"229","H","Intercept",0.013252700816924
"230","I","Intercept",-0.0117402459933223
"231","IT","Intercept",-0.0116709941999416
"232","FI","Intercept",-0.00445856983168891
"233","IT","Intercept",-0.0162422436965951
"234","H","Intercept",0.009294781628907
"235","M","Intercept",-0.016186974668778
"236","CD","Intercept",-0.0172013854760871
"237","M","Intercept",-0.00539134633728846
"238","IT","Intercept",-0.00456721274922245
"239","H","Intercept",-0.00309294182835473
"240","FI","Intercept",-0.0222508212603454
"241","IT","Intercept",0.00630987253409049
"242","RE","Intercept",-0.0082794473782141
"243","I","Intercept",-0.0185307943632701
"244","I","Intercept",-0.0076745803726685
"245","CS","Intercept",-0.00908056608060248
"246","I","Intercept",-0.00676857915696942
"247","FI","Intercept",-0.00918348066128052
"248","IT","Intercept",-0.023292012253218
"249","I","Intercept",-0.0101064115903994
"250","CS","Intercept",-0.0124791145628898
"251","FI","Intercept",-0.00383879623747833
"252","CS","Intercept",-0.00796195021345972
"253","RE","Intercept",-0.0155659746755524
"254","E","Intercept",-0.0197503905367328
"255","IT","Intercept",-0.0126785426568136
"256","CD","Intercept",-0.0171737651911486
"257","CS","Intercept",-0.00859572374597023
"258","CD","Intercept",-0.00657148839843879
"259","I","Intercept",-0.0115516613343669
"260","H","Intercept",-0.0112312163084296
"261","IT","Intercept",-0.00794805606674995
"262","CD","Intercept",-0.0115805494996159
"263","CD","Intercept",-0.00732605247009829
"264","FI","Intercept",-0.0221263787487436
"265","H","Intercept",-0.00214222042732164
"266","FI","Intercept",-0.00721631171423723
"267","CD","Intercept",-0.00594343867588721
"268","I","Intercept",-0.000344381215646934
"269","CD","Intercept",-0.00572286083811961
"270","M","Intercept",-0.00273756016684528
"271","FI","Intercept",-0.00152369597412575
"272","RE","Intercept",-0.0143026942562015
"273","CD","Intercept",-0.0163506868507636
"274","E","Intercept",-0.0214085929630599
"275","E","Intercept",-0.00911324299822868
"276","CD","Intercept",-0.00918647861898006
"277","FI","Intercept",-0.00463132565265351
"278","M","Intercept",-0.0109578821366699
"279","I","Intercept",-0.0118106994721409
"280","IT","Intercept",-0.00355122728583544
"281","CD","Intercept",-0.0210587168002244
"282","CS","Intercept",-0.00623625710291415
"283","CD","Intercept",-0.00520224269402125
"284","H","Intercept",-0.00864901421797822
"285","H","Intercept",-0.0136711878735192
"286","H","Intercept",-0.00922031584424557
"287","FI","Intercept",-0.0164303381464884
"288","H","Intercept",-0.00362091976590759
"289","CD","Intercept",-0.0123272783127576
"290","CD","Intercept",-0.00419755506998115
"291","IT","Intercept",-0.00785313837456803
"292","IT","Intercept",-0.00527450965560384
"293","IT","Intercept",-0.0102124986104986
"294","RE","Intercept",-0.00554280667847095
"295","CD","Intercept",-0.0090624468081396
"296","CS","Intercept",-0.0125448520526108
"297","CS","Intercept",-0.00932990596288796
"298","M","Intercept",-0.0181778449261386
"299","CS","Intercept",0.00643580464998263
"300","FI","Intercept",-0.0062504416413294
"301","FI","Intercept",-0.0159783777860098
"302","M","Intercept",-0.0312083455696162
"303","IT","Intercept",-0.0071872571559533
"304","H","Intercept",-0.0136127353581643
"305","FI","Intercept",-0.00682121440372483
"306","E","Intercept",-0.0235146828921102
"307","H","Intercept",0.00322165658766794
"308","IT","Intercept",-0.0190785735004912
"309","IT","Intercept",0.0344525842661117
"310","CD","Intercept",-0.01383983002931
"311","E","Intercept",-0.0254680502829784
"312","M","Intercept",-0.0109652822525355
"313","U","Intercept",-0.00267422880789614
"314","I","Intercept",-0.0152212988905529
"315","CD","Intercept",-0.00314728213497331
"316","U","Intercept",-0.00200310081547735
"317","E","Intercept",-0.021467746653997
"318","CD","Intercept",-0.0191100341256981
"319","I","Intercept",-0.0108029076297611
"320","FI","Intercept",-0.00962628696885082
"321","I","Intercept",-0.000689045256452394
"322","U","Intercept",-0.0144013306184086
"323","M","Intercept",-0.0199140928860193
"324","IT","Intercept",0.00464242340610639
"325","CD","Intercept",0.00792367657053015
"326","E","Intercept",-0.0190723260526134
"327","CD","Intercept",-0.0180649456005783
"328","E","Intercept",-0.00507712153951369
"329","IT","Intercept",-0.0169375445431904
"330","I","Intercept",-0.0150958157009212
"331","M","Intercept",-0.00402268433106278
"332","I","Intercept",-0.0114889328214512
"333","IT","Intercept",-0.0109040416421371
"334","I","Intercept",-0.0133575924403563
"335","FI","Intercept",-0.0124799854961318
"336","CS","Intercept",-0.0100736340024587
"337","H","Intercept",-0.00453515629082032
"338","H","Intercept",-0.00608592657897728
"339","H","Intercept",-0.010195797572494
"340","U","Intercept",-0.010779992051917
"341","CS","Intercept",-0.0126945524286733
"342","U","Intercept",-0.00442820203816944
"343","E","Intercept",-0.00670365461751285
"344","FI","Intercept",-0.00746192891308669
"345","CD","Intercept",-0.0153084206823867
"346","M","Intercept",-0.0135067352019481
"347","FI","Intercept",-0.0134477876937205
"348","CS","Intercept",-0.011092420012538
"349","FI","Intercept",-0.00671509051203148
"350","RE","Intercept",-0.0111998860156669
"351","FI","Intercept",-0.0109286016645084
"352","U","Intercept",-0.00885124121885743
"353","RE","Intercept",-0.00607573319621107
"354","CD","Intercept",-0.0108742692982273
"355","CD","Intercept",-0.00920304289273715
"356","I","Intercept",-0.00901397740908665
"357","IT","Intercept",-0.021314222749733
"358","E","Intercept",-0.026042202120175
"359","FI","Intercept",-0.00730633121764529
"360","I","Intercept",-0.00210494705399054
"361","RE","Intercept",-0.00440457450524525
"362","IT","Intercept",-0.00594977184480703
"363","RE","Intercept",-0.0119945327210218
"364","H","Intercept",0.0115051906015059
"365","FI","Intercept",-0.00657008793521644
"366","H","Intercept",-0.00700963547410804
"367","I","Intercept",-0.0142853151846826
"368","I","Intercept",-0.00658080378313197
"369","I","Intercept",-0.00918229613043077
"370","I","Intercept",-0.00534321142600627
"371","CD","Intercept",0.00152432451800894
"372","CD","Intercept",-0.0116813868063209
"373","IT","Intercept",-0.00185384339216837
"374","RE","Intercept",-0.00572079622599253
"375","U","Intercept",-0.012341431687489
"376","E","Intercept",-0.0222310482458041
"377","IT","Intercept",-0.0177396774975104
"378","M","Intercept",-0.0138924773235776
"379","U","Intercept",-0.00852192539501691
"380","M","Intercept",0.000652834408692988
"381","RE","Intercept",-0.00964762101299089
"382","IT","Intercept",0.00115565619223901
"383","RE","Intercept",-0.0147453424923617
"384","CD","Intercept",-0.00231911204638701
"385","U","Intercept",-0.00146832114840936
"386","I","Intercept",-0.00411055962296519
"387","FI","Intercept",-0.00507041308180865
"388","CD","Intercept",-0.0108292831079397
"389","CD","Intercept",-0.00299615280396728
"390","FI","Intercept",-0.0136767068060721
"391","I","Intercept",-0.0106601955953547
"392","H","Intercept",-0.00679943317300362
"393","FI","Intercept",-0.00642455905332782
"394","FI","Intercept",-0.00319000001006326
"395","IT","Intercept",-0.0122130073835068
"396","IT","Intercept",-0.0059094615020213
"397","CS","Intercept",-0.00970065175984132
"398","FI","Intercept",-0.0159582993582054
"399","IT","Intercept",0.00410891277288638
"400","CD","Intercept",-0.0189263501136616
"401","CD","Intercept",-0.0137564190043995
"402","IT","Intercept",-0.00909852899365945
"403","E","Intercept",-0.017183647521503
"404","IT","Intercept",-0.00837037950182706
"405","I","Intercept",-0.0139360966009503
"406","CD","Intercept",-0.0202311358218142
"407","CD","Intercept",-0.0076746081597834
"408","CD","Intercept",-0.00371340696371489
"409","FI","Intercept",-0.00425661489592825
