"","Sec","variable","value"
"655","M","Mkt-Rf",0.0240972841690349
"656","CD","Mkt-Rf",0.00931919757090353
"657","IT","Mkt-Rf",0.00532781509517227
"658","I","Mkt-Rf",0.00916855724693172
"659","I","Mkt-Rf",0.0114119706737004
"660","RE","Mkt-Rf",0.0130545008583144
"661","CS","Mkt-Rf",0.00310396913746745
"662","CD","Mkt-Rf",0.01377031703957
"663","CD","Mkt-Rf",0.00702881821473687
"664","H","Mkt-Rf",0.00705781695244487
"665","IT","Mkt-Rf",0.0106210622003775
"666","FI","Mkt-Rf",0.0129923864260459
"667","CD","Mkt-Rf",0.0151103646047681
"668","I","Mkt-Rf",0.00787047762730578
"669","E","Mkt-Rf",0.0124163210134609
"670","CD","Mkt-Rf",0.00773320935596046
"671","CD","Mkt-Rf",0.0124005488487302
"672","IT","Mkt-Rf",0.0109629504106217
"673","FI","Mkt-Rf",0.0142606838409197
"674","CD","Mkt-Rf",0.00918700400253308
"675","H","Mkt-Rf",0.00887248597256916
"676","RE","Mkt-Rf",0.0051964855005193
"677","E","Mkt-Rf",0.0100742738807104
"678","H","Mkt-Rf",0.00812482993865126
"679","CS","Mkt-Rf",0.0020281549761632
"680","E","Mkt-Rf",0.0146166475851581
"681","H","Mkt-Rf",0.00996830804846457
"682","CD","Mkt-Rf",0.00896258432928218
"683","I","Mkt-Rf",0.0112161135614786
"684","CS","Mkt-Rf",0.00453909538070391
"685","RE","Mkt-Rf",0.0147709049427093
"686","IT","Mkt-Rf",0.0148066487097237
"687","H","Mkt-Rf",0.00482351298581643
"688","FI","Mkt-Rf",0.0078647739334595
"689","I","Mkt-Rf",0.0134569220495628
"690","H","Mkt-Rf",0.00456398163993144
"691","I","Mkt-Rf",0.0113012769107046
"692","H","Mkt-Rf",0.00353139910048141
"693","I","Mkt-Rf",0.0116682211025841
"694","IT","Mkt-Rf",0.0104925611440193
"695","FI","Mkt-Rf",0.00723704849551711
"696","IT","Mkt-Rf",0.00743693792108856
"697","H","Mkt-Rf",0.00821140489706038
"698","M","Mkt-Rf",0.0137715843244747
"699","CD","Mkt-Rf",0.0174080847844914
"700","M","Mkt-Rf",0.0088276610585976
"701","IT","Mkt-Rf",0.00994433447838407
"702","H","Mkt-Rf",0.00638522303473629
"703","FI","Mkt-Rf",0.0186687591530191
"704","IT","Mkt-Rf",0.0153554538754915
"705","RE","Mkt-Rf",0.00752935974777102
"706","I","Mkt-Rf",0.0134335596803619
"707","I","Mkt-Rf",0.00874269875135519
"708","CS","Mkt-Rf",0.00545314106677494
"709","I","Mkt-Rf",0.00689993287939038
"710","FI","Mkt-Rf",0.0121300097297677
"711","IT","Mkt-Rf",0.0160554422818983
"712","I","Mkt-Rf",0.0102721259835499
"713","CS","Mkt-Rf",0.00441997262240146
"714","FI","Mkt-Rf",0.00889854659475956
"715","CS","Mkt-Rf",0.00452657957350133
"716","RE","Mkt-Rf",0.0103719834271665
"717","E","Mkt-Rf",0.00632531652304607
"718","IT","Mkt-Rf",0.0161950012757576
"719","CD","Mkt-Rf",0.00807114337710607
"720","CS","Mkt-Rf",0.0079328523089385
"721","CD","Mkt-Rf",0.0101551087581568
"722","I","Mkt-Rf",0.010067645489507
"723","H","Mkt-Rf",0.00653936988799981
"724","IT","Mkt-Rf",0.0134792512354543
"725","CD","Mkt-Rf",0.00983433505625535
"726","CD","Mkt-Rf",0.0132069031374951
"727","FI","Mkt-Rf",0.0140090980211383
"728","H","Mkt-Rf",0.00247602755066256
"729","FI","Mkt-Rf",0.0172599654363293
"730","CD","Mkt-Rf",0.00765578307580257
"731","I","Mkt-Rf",0.0060849952689697
"732","CD","Mkt-Rf",0.00970372540549773
"733","M","Mkt-Rf",0.0147032538896506
"734","FI","Mkt-Rf",0.00378973500519918
"735","RE","Mkt-Rf",0.0104276757296096
"736","CD","Mkt-Rf",0.00959984881004446
"737","E","Mkt-Rf",0.0143579335522748
"738","E","Mkt-Rf",0.018603798692241
"739","CD","Mkt-Rf",0.0133192344125414
"740","FI","Mkt-Rf",0.0078165046523493
"741","M","Mkt-Rf",0.0105781480135815
"742","I","Mkt-Rf",0.0159570033174291
"743","IT","Mkt-Rf",0.0108410582880067
"744","CD","Mkt-Rf",0.008642841197789
"745","CS","Mkt-Rf",0.00482370393031024
"746","CD","Mkt-Rf",0.00513240845866881
"747","H","Mkt-Rf",0.00730285963411143
"748","H","Mkt-Rf",0.00927512081239446
"749","H","Mkt-Rf",0.00461852009609946
"750","FI","Mkt-Rf",0.0142636443238922
"751","H","Mkt-Rf",0.010037550390882
"752","CD","Mkt-Rf",0.0168175354266516
"753","CD","Mkt-Rf",0.00742965390695158
"754","IT","Mkt-Rf",0.00995299609606822
"755","IT","Mkt-Rf",0.0149376327928823
"756","IT","Mkt-Rf",0.0119236976854833
"757","RE","Mkt-Rf",0.00446269497119244
"758","CD","Mkt-Rf",0.0140697537179144
"759","CS","Mkt-Rf",0.00837270023850274
"760","CS","Mkt-Rf",0.00759313885108036
"761","M","Mkt-Rf",0.0120445855464798
"762","CS","Mkt-Rf",0.00618413940935601
"763","FI","Mkt-Rf",0.0138574160691426
"764","FI","Mkt-Rf",0.0157246560164884
"765","M","Mkt-Rf",0.0137922560616893
"766","IT","Mkt-Rf",0.00688666906062268
"767","H","Mkt-Rf",0.0120178707691267
"768","FI","Mkt-Rf",0.00968407704741046
"769","E","Mkt-Rf",0.0132341768123905
"770","H","Mkt-Rf",0.0154366290534121
"771","IT","Mkt-Rf",0.0147206013064578
"772","IT","Mkt-Rf",0.00650158364655987
"773","CD","Mkt-Rf",0.0112054678286364
"774","E","Mkt-Rf",0.0113229954598092
"775","M","Mkt-Rf",0.000956796385312193
"776","U","Mkt-Rf",0.00412970759562089
"777","I","Mkt-Rf",0.00896956594956568
"778","CD","Mkt-Rf",0.00746707957005986
"779","U","Mkt-Rf",0.00420688450808024
"780","E","Mkt-Rf",0.00998293944136565
"781","CD","Mkt-Rf",0.0106748665821721
"782","I","Mkt-Rf",0.0108920118793653
"783","FI","Mkt-Rf",0.00809535798217437
"784","I","Mkt-Rf",0.00892885251677197
"785","U","Mkt-Rf",0.00800183493111654
"786","M","Mkt-Rf",0.0131359996302785
"787","IT","Mkt-Rf",0.0146955387492555
"788","CD","Mkt-Rf",0.00552831654908218
"789","E","Mkt-Rf",0.00973150098004536
"790","CD","Mkt-Rf",0.0127047123395292
"791","E","Mkt-Rf",0.00917117852326141
"792","IT","Mkt-Rf",0.0125435900380873
"793","I","Mkt-Rf",0.0125977682829912
"794","M","Mkt-Rf",0.0121502020724665
"795","I","Mkt-Rf",0.0133917096657992
"796","IT","Mkt-Rf",0.00887252185303019
"797","I","Mkt-Rf",0.0112508571174154
"798","FI","Mkt-Rf",0.00611154303909245
"799","CS","Mkt-Rf",0.00579990037488088
"800","H","Mkt-Rf",0.00772058238180436
"801","H","Mkt-Rf",0.00344664723417893
"802","H","Mkt-Rf",0.00747258539897794
"803","U","Mkt-Rf",0.00217223384127194
"804","CS","Mkt-Rf",0.0109553054873161
"805","U","Mkt-Rf",0.00369993961213148
"806","E","Mkt-Rf",0.0101561917483362
"807","FI","Mkt-Rf",0.00691250355624526
"808","CD","Mkt-Rf",0.00823521501782577
"809","M","Mkt-Rf",0.00854316868760622
"810","FI","Mkt-Rf",0.0153229337585765
"811","CS","Mkt-Rf",0.00493440861197266
"812","FI","Mkt-Rf",0.00805189428618867
"813","RE","Mkt-Rf",0.0120259836100694
"814","FI","Mkt-Rf",0.0125961101942372
"815","U","Mkt-Rf",0.00376765111116821
"816","RE","Mkt-Rf",0.00640435716633629
"817","CD","Mkt-Rf",0.0150353812258361
"818","CD","Mkt-Rf",0.0130200555206974
"819","I","Mkt-Rf",0.00500895670934301
"820","IT","Mkt-Rf",0.0139208894665161
"821","E","Mkt-Rf",0.00637494304743763
"822","FI","Mkt-Rf",0.0115944125159585
"823","I","Mkt-Rf",0.00629638788685929
"824","RE","Mkt-Rf",0.00371059436968496
"825","IT","Mkt-Rf",0.00988951035071409
"826","RE","Mkt-Rf",0.00942244344815144
"827","H","Mkt-Rf",0.00946391188262424
"828","FI","Mkt-Rf",0.0134778110318453
"829","H","Mkt-Rf",0.00787608182800421
"830","I","Mkt-Rf",0.0118456277690943
"831","I","Mkt-Rf",0.0110767714871386
"832","I","Mkt-Rf",0.00761974157534981
"833","I","Mkt-Rf",0.00934487750023258
"834","CD","Mkt-Rf",0.00765850294483304
"835","CD","Mkt-Rf",0.0196180392329841
"836","IT","Mkt-Rf",0.0103587913364866
"837","RE","Mkt-Rf",0.00941337141576761
"838","U","Mkt-Rf",0.0034104652159149
"839","E","Mkt-Rf",0.012284936287671
"840","IT","Mkt-Rf",0.0220669711829976
"841","M","Mkt-Rf",0.0115742477558365
"842","U","Mkt-Rf",0.00530210230895919
"843","M","Mkt-Rf",0.00707071018513419
"844","RE","Mkt-Rf",0.0074853976233517
"845","IT","Mkt-Rf",0.0112841221815668
"846","RE","Mkt-Rf",0.0111951678552805
"847","CD","Mkt-Rf",0.0114397529708284
"848","U","Mkt-Rf",0.0020285336077197
"849","I","Mkt-Rf",0.0102846934277184
"850","FI","Mkt-Rf",0.0118385893360736
"851","CD","Mkt-Rf",0.0129441748282294
"852","CD","Mkt-Rf",0.0077418138405809
"853","FI","Mkt-Rf",0.0122685543557334
"854","I","Mkt-Rf",0.00122493354727015
"855","H","Mkt-Rf",0.00744120142854617
"856","FI","Mkt-Rf",0.0109220026266109
"857","FI","Mkt-Rf",0.0126834226112799
"858","IT","Mkt-Rf",0.00907498671248075
"859","IT","Mkt-Rf",0.00749101905535463
"860","CS","Mkt-Rf",0.00636288218987027
"861","FI","Mkt-Rf",0.0122275155532037
"862","IT","Mkt-Rf",0.0119198176175178
"863","CD","Mkt-Rf",0.00994921339580591
"864","CD","Mkt-Rf",0.00528427480111661
"865","IT","Mkt-Rf",0.0127309689217043
"866","E","Mkt-Rf",0.0102483109579829
"867","IT","Mkt-Rf",0.0119332842135717
"868","I","Mkt-Rf",0.014332959340654
"869","CD","Mkt-Rf",0.0171551433989197
"870","CD","Mkt-Rf",0.0105992879130091
"871","CD","Mkt-Rf",0.00569870411896008
"872","FI","Mkt-Rf",0.00909424514640816
"873","IT","Mkt-Rf",0.0116298116402996
"874","CD","Mkt-Rf",0.0101455909640823
"875","I","Mkt-Rf",0.00649587563408447
"876","FI","Mkt-Rf",0.00916501991832261
"877","CD","Mkt-Rf",0.0172589069080902
"878","CD","Mkt-Rf",0.0129331397491748
"879","CD","Mkt-Rf",0.0128423031326112
"880","CS","Mkt-Rf",0.00339447177837606
"881","CD","Mkt-Rf",0.0067853957626358
"882","FI","Mkt-Rf",0.00695091437536731
"883","CD","Mkt-Rf",0.00509438345704674
"884","I","Mkt-Rf",0.00858425581597118
"885","I","Mkt-Rf",0.00719082692863915
"886","H","Mkt-Rf",0.00458968244601377
"887","I","Mkt-Rf",0.00806337616339519
"888","I","Mkt-Rf",0.0251890321695381
"889","I","Mkt-Rf",0.0100994266418713
"890","H","Mkt-Rf",0.00992867119836996
"891","FI","Mkt-Rf",0.012116868907206
"892","CD","Mkt-Rf",0.00951682383277477
"893","E","Mkt-Rf",0.0137687587963652
"894","H","Mkt-Rf",0.00692893014929385
"895","RE","Mkt-Rf",0.00602205969475649
"896","IT","Mkt-Rf",0.00956848822420109
"897","I","Mkt-Rf",0.00363108391315554
"898","T","Mkt-Rf",0.00615311410952339
"899","H","Mkt-Rf",0.00698160899005377
"900","CD","Mkt-Rf",0.0126708745917396
"901","IT","Mkt-Rf",0.00938161910180735
"902","RE","Mkt-Rf",0.0095833600321313
"903","M","Mkt-Rf",0.0111394933225805
"904","CS","Mkt-Rf",0.00486361619801137
"905","CS","Mkt-Rf",0.0120518258334454
"906","CD","Mkt-Rf",0.0117482076717892
"907","I","Mkt-Rf",0.00698719424235181
"908","H","Mkt-Rf",0.00823199257925935
"909","U","Mkt-Rf",0.00200255695864982
"910","FI","Mkt-Rf",0.00871818127123193
"911","RE","Mkt-Rf",-0.00492530109348485
"912","IT","Mkt-Rf",0.0117613807313124
"913","IT","Mkt-Rf",0.010150257880409
"914","RE","Mkt-Rf",0.00898312617064077
"915","CD","Mkt-Rf",0.0135796359362959
"916","E","Mkt-Rf",0.0108392942187532
"917","FI","Mkt-Rf",0.00735277416339244
"918","CD","Mkt-Rf",0.0148780839968767
"919","CD","Mkt-Rf",0.0170097186533054
"920","U","Mkt-Rf",0.00281495634862066
"921","IT","Mkt-Rf",0.00969002058043365
"922","FI","Mkt-Rf",0.0106603365918391
"923","I","Mkt-Rf",0.0102743811560308
"924","CD","Mkt-Rf",0.00767397551832751
"925","H","Mkt-Rf",0.00796363403934434
"926","FI","Mkt-Rf",0.0113083421104457
"927","I","SMB",0.00218292386145303
"928","H","SMB",-0.00284126700044699
"929","IT","SMB",-0.00411590270133088
"930","IT","SMB",-0.00779420525835817
"931","I","SMB",0.00971294413664808
"932","IT","SMB",-0.00541963723059867
"933","IT","SMB",0.0105778345719648
"934","CD","SMB",0.00640382416896935
"935","U","SMB",9.01745375005422e-05
"936","H","SMB",0.0022634016382134
"937","FI","SMB",0.00405400714534756
"938","FI","SMB",-0.00207888250995961
"939","H","SMB",0.00166173467361856
"940","M","SMB",0.0014976470928454
"941","IT","SMB",-0.000158198564744883
"942","I","SMB",0.00766776459979158
"943","M","SMB",0.00315553724802979
"944","RE","SMB",-0.00131213086208184
"945","H","SMB",-0.000983468697099516
"946","H","SMB",-0.000143462140299618
"947","H","SMB",-0.00239917646021046
"948","U","SMB",-0.0039990839913507
"949","FI","SMB",-0.00265713406595202
"950","IT","SMB",-0.00759656407320094
"951","IT","SMB",-0.00750961664934874
"952","CS","SMB",-0.0079199453682592
"953","CD","SMB",-0.00183931367619556
"954","I","SMB",0.0105368040350693
"955","U","SMB",-0.00558994134290746
"956","FI","SMB",0.00484916284135764
"957","FI","SMB",-0.00388659258551258
"958","RE","SMB",-0.00861893562918234
"959","U","SMB",-0.00400039820088859
"960","H","SMB",0.00418107475481068
"961","I","SMB",0.00769878130651644
"962","H","SMB",-0.00275945619288521
"963","IT","SMB",0.00218709059855597
"964","E","SMB",0.00243373750434283
"965","IT","SMB",0.0032813938430654
"966","E","SMB",-0.00161949077770138
"967","IT","SMB",-0.0010964638252736
"968","H","SMB",-0.000623918273539391
"969","FI","SMB",-0.00141473629343463
"970","I","SMB",0.00474278814221351
"971","E","SMB",0.00489852843739317
"972","RE","SMB",0.000740502744573988
"973","IT","SMB",-0.00136354620489145
"974","IT","SMB",0.00308566491243768
"975","CD","SMB",0.00369791534002102
"976","CS","SMB",-0.0105056453828394
"977","I","SMB",-0.00377744788659313
"978","FI","SMB",0.00179584476675495
"979","FI","SMB",-0.00397607879520952
"980","T","SMB",-0.00201899943642848
"981","IT","SMB",-0.000929782103452012
"982","IT","SMB",-0.00117162745718371
"983","CD","SMB",0.0059212003906387
"984","RE","SMB",0.00285770274254527
"985","M","SMB",0.000211387614185351
"986","E","SMB",0.00329197299965076
"987","M","SMB",-0.000657881151493506
"988","FI","SMB",-0.000870269870383641
"989","FI","SMB",-0.00432046888431627
"990","H","SMB",-0.00589692953298161
"991","FI","SMB",0.00271395571248502
"992","H","SMB",0.000247203740458131
"993","CD","SMB",0.00776866630159509
"994","H","SMB",0.0068786067882295
"995","FI","SMB",-0.00449760665188737
"996","FI","SMB",0.00242537388006851
"997","I","SMB",-0.00355122852345273
"998","CD","SMB",-0.00453543813066716
"999","CD","SMB",0.00977988150109436
"1000","RE","SMB",0.000585641825906004
"1001","H","SMB",0.00331207839431264
"1002","H","SMB",-0.000138843454840077
"1003","IT","SMB",-0.000736272826740297
"1004","I","SMB",0.00172582477260966
"1005","IT","SMB",0.0031732073978916
"1006","E","SMB",0.00273238780127554
"1007","IT","SMB",-0.00402160559833311
"1008","CS","SMB",-0.00389634833586771
"1009","FI","SMB",0.000423242393247815
"1010","H","SMB",6.54770824634388e-05
"1011","CD","SMB",0.0110325775381137
"1012","CD","SMB",-0.00188545598919498
"1013","I","SMB",0.00673304563231238
"1014","FI","SMB",0.00280048870243622
"1015","CD","SMB",0.00349863875483985
"1016","H","SMB",0.00270369194673814
"1017","H","SMB",0.00293425644170743
"1018","U","SMB",-0.00253432948697185
"1019","T","SMB",-0.00533917175706189
"1020","H","SMB",-0.00209306616360571
"1021","M","SMB",0.00234280492243233
"1022","FI","SMB",0.00225586034896908
"1023","CD","SMB",-1.49329425268129e-05
"1024","E","SMB",-0.00136083059323809
"1025","CD","SMB",0.0143646735152869
"1026","FI","SMB",-0.00305510495799212
"1027","CS","SMB",-0.00297496057205276
"1028","H","SMB",0.00681508465028756
"1029","E","SMB",0.000498286993997392
"1030","FI","SMB",-0.000277426405741953
"1031","I","SMB",0.00146218772732294
"1032","IT","SMB",-0.00697632974855167
"1033","FI","SMB",-0.00221686066627651
"1034","IT","SMB",-0.00297253399263314
"1035","CS","SMB",-0.00529969127450562
"1036","FI","SMB",0.00364511095010349
"1037","U","SMB",-0.00533634247066528
"1038","CS","SMB",-0.00525979180973048
"1039","IT","SMB",-0.00252058736534779
"1040","CS","SMB",-0.0046455406258426
"1041","CD","SMB",-0.00226432807011987
"1042","FI","SMB",0.00493384623202653
"1043","CS","SMB",-0.00204574522170342
"1044","E","SMB",0.00818340152467023
"1045","E","SMB",0.00263464548560321
"1046","U","SMB",-0.0052474126017464
"1047","CS","SMB",-0.0017604935377131
"1048","H","SMB",0.000527969504786089
"1049","IT","SMB",-0.00069290578293711
"1050","CS","SMB",-0.00121510575989002
"1051","RE","SMB",-0.00715107668160996
"1052","I","SMB",0.00650226088857136
"1053","I","SMB",0.0096676620438195
"1054","CS","SMB",-7.67351558936995e-05
"1055","CD","SMB",0.00312013916173331
"1056","H","SMB",0.00644025523453453
"1057","CD","SMB",0.00170961790976521
"1058","H","SMB",0.00195769538689229
"1059","I","SMB",0.000481290937568923
"1060","I","SMB",0.0025151023466009
"1061","H","SMB",-0.00112759124825922
"1062","E","SMB",0.00509895724955011
"1063","RE","SMB",-0.00222314317733258
"1064","FI","SMB",0.00287505286390601
"1065","CD","SMB",-0.00243650519015882
"1066","CD","SMB",-0.00200087194306045
"1067","CD","SMB",-0.00346601070459461
"1068","CD","SMB",0.0100256245298194
"1069","U","SMB",-0.00439735165329302
"1070","I","SMB",0.00331145578843311
"1071","M","SMB",0.000511848578292972
"1072","CS","SMB",-0.00435208258296275
"1073","U","SMB",-0.00369463519489364
"1074","RE","SMB",-0.00287913551938915
"1075","U","SMB",-0.00461014851680787
"1076","IT","SMB",-0.00155345723196452
"1077","FI","SMB",0.00683223616427574
"1078","M","SMB",0.000121370219379424
"1079","I","SMB",0.00669304012827963
"1080","IT","SMB",-0.00323008853808455
"1081","M","SMB",0.000503635412820855
"1082","U","SMB",-0.00278630252564816
"1083","H","SMB",0.0073627782357589
"1084","IT","SMB",9.20194340250039e-05
"1085","I","SMB",0.00367761469383721
"1086","U","SMB",-0.00607277259406012
"1087","E","SMB",0.00700375775472516
"1088","E","SMB",0.000959845619860767
"1089","I","SMB",-0.00705798402030202
"1090","RE","SMB",-0.00805672312639603
"1091","RE","SMB",0.00286006715796038
"1092","RE","SMB",0.00320361159969532
"1093","CS","SMB",-0.00163005306320161
"1094","U","SMB",-0.00537971719673346
"1095","FI","SMB",-0.00242261778309316
"1096","U","SMB",-0.00493104967176384
"1097","CD","SMB",-0.000494428358450436
"1098","I","SMB",0.00552557914284302
"1099","H","SMB",0.00311867780529399
"1100","RE","SMB",-0.00177102043843212
"1101","E","SMB",-0.00145975762118976
"1102","IT","SMB",0.00393266593591288
"1103","I","SMB",0.00551395516483362
"1104","RE","SMB",-0.00150003694716382
"1105","I","SMB",0.00252336255669718
"1106","IT","SMB",-0.000571114319753903
"1107","FI","SMB",0.00252789578744129
"1108","U","SMB",-0.00650949731534735
"1109","IT","SMB",-0.00187092111979243
"1110","IT","SMB",0.00377258750924494
"1111","I","SMB",0.0058497241587395
"1112","I","SMB",0.00745334007715139
"1113","M","SMB",0.00670280442005321
"1114","CD","SMB",0.00914191735631626
"1115","CD","SMB",0.00237584048017091
"1116","I","SMB",0.00448258651634557
"1117","FI","SMB",0.00294636924972235
"1118","M","SMB",0.00755831048319163
"1119","CD","SMB",0.00622193110644721
"1120","IT","SMB",0.00192076264079786
"1121","I","SMB",7.38508699853404e-06
"1122","I","SMB",-0.00399022280169367
"1123","RE","SMB",0.000149418945336153
"1124","CS","SMB",-0.00231921392134137
"1125","CD","SMB",0.00309346041702628
"1126","CD","SMB",0.00493559337873852
"1127","H","SMB",-0.00175227414906591
"1128","IT","SMB",-0.00190056014406828
"1129","FI","SMB",-0.00192510160350995
"1130","CD","SMB",0.011253359514999
"1131","I","SMB",0.00141708346495329
"1132","E","SMB",0.00246980667531182
"1133","CD","SMB",0.00120854796996908
"1134","CD","SMB",0.0104044358280593
"1135","IT","SMB",0.00150632402013636
"1136","FI","SMB",-0.00445161162520307
"1137","CD","SMB",-0.00229246011312161
"1138","H","SMB",0.000345777684946426
"1139","RE","SMB",-0.0043850236834382
"1140","E","SMB",0.00897299766578277
"1141","H","SMB",-0.000977644461680888
"1142","CS","SMB",-0.000992979308017838
"1143","E","SMB",0.00223615483231658
"1144","H","SMB",0.0018613050913162
"1145","CD","SMB",0.00201579111712467
"1146","I","SMB",0.00122882695797609
"1147","CS","SMB",0.000369689109861965
"1148","RE","SMB",0.00622961844674555
"1149","IT","SMB",0.00146241860052039
"1150","H","SMB",0.006324652631489
"1151","FI","SMB",0.00645524977717318
"1152","I","SMB",-6.51410074751463e-05
"1153","H","SMB",0.00792350935637784
"1154","I","SMB",0.00455415920277601
"1155","H","SMB",0.0139114139077264
"1156","I","SMB",0.00727416602306858
"1157","IT","SMB",-0.00253068374216125
"1158","FI","SMB",-0.0020258538878119
"1159","IT","SMB",-0.00176275726510363
"1160","H","SMB",0.0135411988274795
"1161","M","SMB",0.00321811276881093
"1162","CD","SMB",-0.000456186049165673
"1163","M","SMB",-0.0013759122574135
"1164","IT","SMB",-0.00530109532513761
"1165","H","SMB",-0.00144820885466077
"1166","FI","SMB",0.000246425290781276
"1167","IT","SMB",0.00198885850072761
"1168","RE","SMB",-0.0013227062994182
"1169","I","SMB",0.00331966578641848
"1170","I","SMB",0.00300681699044177
"1171","CS","SMB",-0.00246993286710392
"1172","I","SMB",-0.000246174378378843
"1173","FI","SMB",-0.00333845948859814
"1174","IT","SMB",-0.00520041907154589
"1175","I","SMB",0.00453411976195429
"1176","CS","SMB",-0.00325722170187068
"1177","FI","SMB",0.00352636393508803
"1178","CS","SMB",-0.0061220648614137
"1179","RE","SMB",-0.00422648742541235
"1180","E","SMB",0.00332878945133278
"1181","IT","SMB",-0.00470623374202489
"1182","CD","SMB",0.00228054942532094
"1183","CS","SMB",-0.000503015996336067
"1184","CD","SMB",0.00677664985165893
"1185","I","SMB",0.000709809769114942
"1186","H","SMB",0.00295593793423609
"1187","IT","SMB",-0.00221700827196851
"1188","CD","SMB",0.00538607971498876
"1189","CD","SMB",0.00402725932473477
"1190","FI","SMB",0.000945876367991066
"1191","H","SMB",-0.00107027960123769
"1192","FI","SMB",0.00194099377761501
"1193","CD","SMB",0.00277743758680102
"1194","I","SMB",-0.00374010495959978
"1195","CD","SMB",0.00276982472194896
"1196","M","SMB",0.000715583380449469
"1197","FI","SMB",0.000555915785679275
"1198","RE","SMB",0.00102426367278046
"1199","CD","SMB",0.00621485222592351
"1200","E","SMB",0.00644428676472997
"1201","E","SMB",-0.00161218410399498
"1202","CD","SMB",0.0033012252031296
"1203","FI","SMB",-0.00133850969387592
"1204","M","SMB",0.00370189678046018
"1205","I","SMB",0.00227583663703498
"1206","IT","SMB",-0.00368060289039582
"1207","CD","SMB",0.00022640001217639
"1208","CS","SMB",0.000719000898366367
"1209","CD","SMB",-0.00238444901808543
"1210","H","SMB",0.00243284936821649
"1211","H","SMB",-0.00404740753410919
"1212","H","SMB",-0.00449460982621383
"1213","FI","SMB",0.00167532219187528
"1214","H","SMB",0.00550315817306739
"1215","CD","SMB",0.00580195402638619
"1216","CD","SMB",0.00580070226368741
"1217","IT","SMB",0.000506948187079629
"1218","IT","SMB",-0.00266899299254901
"1219","IT","SMB",-0.00900378590773684
"1220","RE","SMB",-0.000882892398917615
"1221","CD","SMB",0.00742461668573139
"1222","CS","SMB",-0.00457651951353563
"1223","CS","SMB",-0.00834352637689111
"1224","M","SMB",-0.00355701944953864
"1225","CS","SMB",-0.00120000263158416
"1226","FI","SMB",-0.00273591962005146
"1227","FI","SMB",0.000840284072711295
"1228","M","SMB",0.000615833382244844
"1229","IT","SMB",0.00265899852521965
"1230","H","SMB",-0.00160497131297356
"1231","FI","SMB",-0.00306199875324978
"1232","E","SMB",0.00857028025098351
"1233","H","SMB",0.00975803606935764
"1234","IT","SMB",0.00313069486440323
"1235","IT","SMB",-0.00114566811653086
"1236","CD","SMB",0.000277698877148648
"1237","E","SMB",0.00984704666725545
"1238","M","SMB",-7.15901529608724e-05
"1239","U","SMB",-0.00555453831849831
"1240","I","SMB",0.000131298712270021
"1241","CD","SMB",0.000432050613917743
"1242","U","SMB",-0.00582828953403852
"1243","E","SMB",0.00454765961900055
"1244","CD","SMB",0.00814864045933881
"1245","I","SMB",0.00619684283091613
"1246","FI","SMB",0.00123841863025251
"1247","I","SMB",-0.00318339330793615
"1248","U","SMB",-0.00145491618927507
"1249","M","SMB",-0.000332118740283021
"1250","IT","SMB",-0.00554506916393662
"1251","CD","SMB",0.00541619420765599
"1252","E","SMB",0.00234332392275157
"1253","CD","SMB",0.00226730276708772
"1254","E","SMB",-8.01611860976708e-05
"1255","IT","SMB",-0.00307478793215969
"1256","I","SMB",0.00761939795600327
"1257","M","SMB",0.00100822412892283
"1258","I","SMB",0.00603258116889472
"1259","IT","SMB",-0.000531659856934446
"1260","I","SMB",0.00634896698848113
"1261","FI","SMB",0.00323583661644614
"1262","CS","SMB",-0.00466213237285009
"1263","H","SMB",0.00219284682201513
"1264","H","SMB",0.00178320655304349
"1265","H","SMB",-0.00334296270717028
"1266","U","SMB",-0.00432439357568966
"1267","CS","SMB",-0.0102651671556399
"1268","U","SMB",-0.0033502802524976
"1269","E","SMB",0.00769876003542432
"1270","FI","SMB",0.00313321588434136
"1271","CD","SMB",0.00487636981102454
"1272","M","SMB",0.000602439781664172
"1273","FI","SMB",-0.00055480732842268
"1274","CS","SMB",-0.00659490875960535
"1275","FI","SMB",-0.00135511921366009
"1276","RE","SMB",0.00026567762533033
"1277","FI","SMB",0.00114556879112936
"1278","U","SMB",-0.00305904539674938
"1279","RE","SMB",-0.00354864151106787
"1280","CD","SMB",0.00347062097854008
"1281","CD","SMB",0.00867109092859603
"1282","I","SMB",0.00355641692116878
"1283","IT","SMB",-0.00346157079326381
"1284","E","SMB",0.00517182489472896
"1285","FI","SMB",0.00564418130137553
"1286","I","SMB",-0.00420060866868159
"1287","RE","SMB",-0.0011836063168336
"1288","IT","SMB",0.00386514150251348
"1289","RE","SMB",-0.00264667472515081
"1290","H","SMB",0.0037860569221439
"1291","FI","SMB",0.000509270243922179
"1292","H","SMB",0.00173060169168165
"1293","I","SMB",0.00467309548053104
"1294","I","SMB",0.00658392698533344
"1295","I","SMB",0.0010207661881061
"1296","I","SMB",0.00413253258413438
"1297","CD","SMB",0.00229961800992607
"1298","CD","SMB",-0.00223777394941555
"1299","IT","SMB",0.00208757818325654
"1300","RE","SMB",-0.00901731766095029
"1301","U","SMB",-0.00428174684311379
"1302","E","SMB",0.00362070467629768
"1303","IT","SMB",0.00721112711784073
"1304","M","SMB",-0.000735323168233054
"1305","U","SMB",-0.00574301544418877
"1306","M","SMB",0.00327394759555026
"1307","RE","SMB",-0.00131228552081139
