"","Intercept","Mkt-Rf","SMB","HML","RMW","CMA","Sec"
"1",-0.0108699522018044,0.00990663105653435,0.00218292386145303,-0.00206480097229038,0.00323894918023602,0.00392176835397245,"I"
"2",-0.0115051715634923,0.00963658051355337,-0.00284126700044699,-0.00694811130189259,0.000807456079501286,0.00317887726358102,"H"
"3",-0.00798463699731994,0.0113775360394151,-0.00411590270133088,-0.00253692975615675,-0.00544030025219194,0.000128272142055139,"IT"
"4",-0.000862599985768074,0.00956430216902939,-0.00779420525835817,-0.00943500460465706,-0.010077705776187,0.0004799406348327,"IT"
"5",-0.00452897455029616,0.0118314598908109,0.00971294413664808,-0.00893206807108629,-0.0144188132371096,0.00964259810830113,"I"
"6",-0.00496068608994788,0.0111789613068749,-0.00541963723059867,0.000447157236950067,-0.0107052237089573,-0.00814063378268392,"IT"
"7",-0.0235722524730208,0.020705294655443,0.0105778345719648,0.0107621503664313,0.00130196768033522,-0.0167096776572416,"IT"
"8",-0.0100173720712595,0.00636207847532198,0.00640382416896935,-0.00464873347942569,0.00838853790433137,0.0133699999665092,"CD"
"9",-0.0265877054042334,0.0118978774058888,9.01745375005422e-05,-0.00766203029580872,0.00237487705219169,0.0125006921610024,"U"
"10",-0.000523900564719046,0.00766935105573025,0.0022634016382134,-0.000289768214647945,-0.00285443202887061,0.00466722872911875,"H"
"11",-0.0173115773044114,0.0164087677838734,0.00405400714534756,0.00304803967129626,-0.000179987592255723,0.00562548279928936,"FI"
"12",-0.0133547201689102,0.0123852739666935,-0.00207888250995961,-0.000764297061110829,-0.00845909300143733,0.00251303602918717,"FI"
"13",-0.0136417320277143,0.0143697432363093,0.00166173467361856,-0.005892336964754,-0.00710684384994096,-0.00370367960536344,"H"
"14",-0.0139727491415141,0.0110712664220534,0.0014976470928454,-0.00230082522639448,-7.27089475449501e-06,0.00318732331455293,"M"
"15",-0.00386677968265845,0.00712954082937945,-0.000158198564744883,0.00598821107400913,-0.00714711540971664,-0.00888639041410773,"IT"
"16",0.00219378646535886,0.00825650742083616,0.00766776459979158,-0.00795071077940647,0.00506427673703785,0.0183432868991229,"I"
"17",-0.0134681036848828,0.016252027003934,0.00315553724802979,-0.00376048582098485,-0.0032115278848387,-0.000932491018029547,"M"
"18",-0.0109963473649835,0.00907200525372998,-0.00131213086208184,-0.00227178046408361,-0.00461335652370959,0.00134879645572943,"RE"
"19",0.00109886253667868,0.00704809063286644,-0.000983468697099516,-0.0113284713418558,-0.013369123694756,0.00495701617503984,"H"
"20",-0.00251560358169817,0.0182958220431109,-0.000143462140299618,-0.00376937506909026,0.00081041572639638,-0.00854842877231956,"H"
"21",-0.00140535962794422,0.00556363227399255,-0.00239917646021046,-0.0101129393227025,-0.00619539905661198,0.00142454176940921,"H"
"22",-0.00128359112254369,0.00495603714063569,-0.0039990839913507,-0.00658530950663737,0.00019774189660685,0.0107671188608958,"U"
"23",-0.00823779051510818,0.00981616330896016,-0.00265713406595202,-0.00327673998118227,-0.00193547878585978,0.00847795034320412,"FI"
"24",-0.0111931577970991,0.0122237050835362,-0.00759656407320094,-0.00272098537351528,-3.56097891706098e-05,-0.00514104444142125,"IT"
"25",-0.0111799483367617,0.0122158072554595,-0.00750961664934874,-0.00269638436766223,-0.000355762725450757,-0.0045904890690212,"IT"
"26",-0.00339238617419787,0.00701124705048097,-0.0079199453682592,-0.00651855577953086,0.00521131778463474,0.0136867376668035,"CS"
"27",-0.000986391720191213,0.012207808803797,-0.00183931367619556,-0.00807599416997711,0.00100435236381811,-0.00918534496153295,"CD"
"28",0.0132884880482105,0.00572595140906862,0.0105368040350693,-0.0090842429621498,-0.000208575495085782,0.0168878601162845,"I"
"29",-0.00534914370955231,0.00373818149167419,-0.00558994134290746,-0.00595105589152181,0.00116871866088956,0.00784680689150425,"U"
"30",-0.011561549183067,0.00971854826921209,0.00484916284135764,0.00499400089381288,0.00259755589823269,-0.00605462365663998,"FI"
"31",-0.0135946057750984,0.0145401830639328,-0.00388659258551258,0.00807786685471131,-0.0103603959983419,-0.000419442417268586,"FI"
"32",-0.00404459707756898,0.00530815759156511,-0.00861893562918234,-0.0070142176220111,-0.00186723610077373,0.00453522235039367,"RE"
"33",0.00168223292748801,0.00253893762515877,-0.00400039820088859,-0.00716030613560292,-0.00244310380907475,0.0113898377716441,"U"
"34",-0.00507333662419039,0.0062504397899121,0.00418107475481068,-0.00930604985308599,-0.00216383626296707,0.0142086285699671,"H"
"35",-0.00840943848645937,0.0106129316880116,0.00769878130651644,-0.00294912365511799,0.00234410130887594,0.00109476216464907,"I"
"36",-0.00658466197286948,0.00781906880704948,-0.00275945619288521,-0.0103506626752253,-0.00899093646267311,0.00831096532873478,"H"
"37",-0.00998200350912898,0.0116563592686028,0.00218709059855597,-0.00153823386368198,0.000440583875527679,0.00205362420325512,"IT"
"38",-0.0279173932663159,0.0166825709226624,0.00243373750434283,0.00391561710660382,-0.00262701645822204,0.0113526749464347,"E"
"39",-0.0101262042905937,0.0105458799543737,0.0032813938430654,-0.000707445491426197,0.000189890170997307,0.00164910917343547,"IT"
"40",-0.00296235726958733,0.0168039333937972,-0.00161949077770138,-0.00294263755077657,-0.007448864449342,0.000413936499784058,"E"
"41",-0.0109417373103356,0.0104654789787933,-0.0010964638252736,-0.00580264022717501,0.000364755653438227,0.00335445334649533,"IT"
"42",-0.00208440544235416,0.00596421277748872,-0.000623918273539391,0.000859310049357346,-0.000831373474956503,0.000672236523423295,"H"
